iter	Passed	Remaining
0	191	76353
1	347	69066
2	449	59538
3	550	54528
4	645	51005
5	736	48395
6	826	46403
7	914	44793
8	999	43412
9	1084	42298
10	1173	41493
11	1259	40724
12	1344	40012
13	1435	39578
14	1519	38991
15	1607	38584
16	1695	38190
17	1786	37922
18	1876	37630
19	1966	37354
20	2051	37027
21	2137	36719
22	2221	36409
23	2313	36246
24	2401	36016
25	2488	35795
26	2573	35549
27	2660	35340
28	2747	35145
29	2838	35008
30	2925	34824
31	3011	34632
32	3098	34459
33	3187	34313
34	3271	34121
35	3353	33908
36	3435	33704
37	3523	33567
38	3606	33385
39	3689	33208
40	3773	33042
41	3882	33092
42	3961	32885
43	4041	32697
44	4126	32550
45	4216	32452
46	4308	32359
47	4390	32199
48	4477	32075
49	4558	31911
50	4640	31757
51	4721	31597
52	4802	31444
53	4885	31302
54	4966	31150
55	5047	31003
56	5125	30842
57	5214	30749
58	5299	30629
59	5388	30533
60	5475	30431
61	5561	30318
62	5648	30214
63	5730	30087
64	5814	29968
65	5899	29855
66	5980	29726
67	6064	29609
68	6149	29498
69	6229	29369
70	6306	29223
71	6392	29122
72	6476	29012
73	6558	28894
74	6639	28772
75	6728	28685
76	6807	28555
77	6890	28443
78	6968	28313
79	7052	28210
80	7135	28103
81	7215	27980
82	7293	27855
83	7373	27738
84	7451	27614
85	7536	27517
86	7615	27396
87	7698	27294
88	7781	27191
89	7863	27085
90	7956	27015
91	8040	26917
92	8130	26839
93	8215	26744
94	8296	26637
95	8383	26548
96	8466	26447
97	8551	26352
98	8640	26269
99	8722	26166
100	8803	26060
101	8886	25963
102	8969	25864
103	9051	25761
104	9131	25655
105	9209	25542
106	9290	25439
107	9371	25337
108	9452	25234
109	9535	25140
110	9617	25039
111	9696	24933
112	9776	24831
113	9854	24723
114	9932	24614
115	10014	24517
116	10096	24421
117	10177	24321
118	10254	24214
119	10338	24123
120	10425	24039
121	10504	23937
122	10584	23836
123	10667	23743
124	10752	23654
125	10833	23557
126	10914	23462
127	10989	23353
128	11070	23256
129	11150	23159
130	11233	23066
131	11313	22970
132	11396	22878
133	11480	22790
134	11559	22691
135	11642	22600
136	11719	22498
137	11799	22401
138	11874	22297
139	11954	22200
140	12035	22108
141	12118	22018
142	12196	21919
143	12280	21832
144	12361	21738
145	12436	21636
146	12516	21541
147	12591	21439
148	12670	21343
149	12758	21264
150	12838	21170
151	12919	21078
152	12999	20985
153	13078	20891
154	13157	20797
155	13239	20707
156	13318	20613
157	13397	20519
158	13473	20422
159	13552	20328
160	13631	20235
161	13713	20146
162	13799	20063
163	13878	19971
164	13954	19875
165	14035	19785
166	14118	19697
167	14155	19547
168	14233	19454
169	14312	19363
170	14387	19267
171	14469	19181
172	14545	19085
173	14628	19000
174	14704	18905
175	14782	18814
176	14865	18728
177	14941	18634
178	15018	18542
179	15097	18452
180	15177	18364
181	15255	18273
182	15329	18177
183	15408	18088
184	15484	17996
185	15559	17901
186	15642	17817
187	15720	17727
188	15801	17640
189	15883	17555
190	15963	17468
191	16042	17379
192	16118	17287
193	16197	17199
194	16272	17106
195	16347	17014
196	16427	16927
197	16507	16840
198	16584	16750
199	16664	16664
200	16738	16572
201	16811	16478
202	16889	16390
203	16963	16298
204	17041	16210
205	17126	16129
206	17206	16042
207	17289	15959
208	17364	15868
209	17442	15781
210	17518	15691
211	17600	15607
212	17697	15537
213	17792	15464
214	17875	15381
215	17956	15296
216	18000	15180
217	18085	15098
218	18159	15008
219	18239	14923
220	18316	14835
221	18394	14748
222	18476	14665
223	18554	14578
224	18631	14491
225	18708	14403
226	18783	14315
227	18861	14229
228	18944	14146
229	19024	14061
230	19100	13973
231	19187	13894
232	19266	13809
233	19344	13723
234	19430	13642
235	19506	13555
236	19588	13472
237	19670	13389
238	19757	13309
239	19843	13229
240	19928	13147
241	20008	13063
242	20088	12978
243	20170	12895
244	20258	12816
245	20338	12732
246	20415	12646
247	20499	12564
248	20577	12479
249	20661	12397
250	20742	12313
251	20819	12227
252	20920	12155
253	21002	12072
254	21084	11989
255	21161	11903
256	21242	11819
257	21327	11738
258	21411	11656
259	21489	11571
260	21568	11486
261	21648	11402
262	21730	11319
263	21812	11236
264	21892	11152
265	21972	11068
266	22054	10986
267	22137	10903
268	22216	10819
269	22298	10736
270	22376	10651
271	22452	10566
272	22530	10480
273	22610	10397
274	22689	10313
275	22771	10230
276	22852	10147
277	22929	10062
278	23009	9978
279	23092	9896
280	23177	9815
281	23259	9732
282	23335	9647
283	23417	9565
284	23498	9481
285	23579	9398
286	23658	9314
287	23739	9231
288	23823	9150
289	23904	9067
290	23985	8984
291	24063	8900
292	24137	8814
293	24214	8730
294	24293	8646
295	24370	8562
296	24449	8478
297	24532	8397
298	24608	8312
299	24687	8229
300	24763	8144
301	24837	8059
302	24914	7975
303	24994	7893
304	25077	7810
305	25160	7729
306	25243	7646
307	25314	7561
308	25394	7478
309	25474	7395
310	25555	7313
311	25634	7230
312	25713	7147
313	25798	7065
314	25878	6983
315	25956	6899
316	26033	6816
317	26111	6733
318	26187	6649
319	26265	6566
320	26340	6482
321	26420	6399
322	26502	6318
323	26595	6238
324	26677	6156
325	26757	6073
326	26837	5991
327	26921	5909
328	27001	5827
329	27080	5744
330	27154	5660
331	27229	5577
332	27308	5494
333	27387	5411
334	27463	5328
335	27540	5245
336	27618	5163
337	27697	5080
338	27779	4998
339	27854	4915
340	27932	4832
341	28014	4750
342	28094	4668
343	28170	4585
344	28249	4503
345	28328	4421
346	28405	4338
347	28491	4257
348	28571	4175
349	28648	4092
350	28725	4010
351	28811	3928
352	28893	3847
353	28983	3766
354	29070	3684
355	29145	3602
356	29221	3519
357	29300	3437
358	29382	3355
359	29460	3273
360	29542	3191
361	29616	3108
362	29692	3026
363	29771	2944
364	29850	2862
365	29928	2780
366	30008	2698
367	30085	2616
368	30161	2533
